loggingSample(N),Run RotationX (rad/s),Run RotationY,Run RotationZ,Walk RotationX,Walk RotationY,Walk RotationZ,Static RotationX,Static RotationY,Static RotationZ,Hybrid RotationX,Hybrid RotationY,Hybrid RotationZ
1,-1.179322033,-0.564627435,0.177036297,0.097199787,0.14860066,-0.155725948,-0.072884061,0.034249317,0.019075158,-0.385002102,-0.127259153,0.013461836
2,-0.93638182,-0.544855861,0.066006181,0.156339008,0.153338158,-0.167189258,-0.065474614,0.031793882,0.016569123,-0.281839142,-0.11990794,-0.028204651
3,-0.677740409,-0.476274936,-0.017174193,0.167523485,0.137460924,-0.175843733,-0.056871805,0.034232006,0.018902052,-0.189029576,-0.101527335,-0.058038625
4,-0.425645314,-0.334580385,-0.080562487,0.134299219,0.130197685,-0.17552735,-0.047053263,0.035488219,0.027243872,-0.112799786,-0.05629816,-0.076281988
5,-0.214474749,-0.128372887,-0.144336141,0.043313386,0.092590921,-0.173559007,-0.036015792,0.046425023,0.027188744,-0.069059052,0.003547686,-0.096902135
6,-0.214474749,-0.128372887,-0.144336141,-0.056290171,0.050156112,-0.166702699,-0.033573673,0.046458313,0.033191509,-0.101446198,-0.010586154,-0.092615777
7,-0.05482197,0.071491494,-0.260645174,-0.148559914,0.013846307,-0.151449178,-0.024992169,0.053762565,0.035553201,-0.076124684,0.046366789,-0.125513717
8,0.15603088,0.326874794,-0.646073293,-0.237283658,0.001935053,-0.124032999,-0.031100662,0.045231927,0.031951808,-0.037451147,0.124680591,-0.246051495
9,0.262492875,0.371744531,-0.855562338,-0.298968328,-0.006283995,-0.084829404,-0.032290828,0.046370695,0.018707641,-0.022922094,0.137277077,-0.307228034
10,0.399890416,0.389774132,-1.072777746,-0.332502586,0.01957956,-0.037289582,-0.024896295,0.046355515,0.017421867,0.014163845,0.151903069,-0.364215154
11,0.590267551,0.384776177,-1.266584767,-0.330326784,0.056288573,-0.000924117,-0.016299877,0.056049687,0.012562663,0.08121363,0.165704812,-0.418315407
12,0.802619495,0.39940572,-1.429163561,-0.312106767,0.095341433,0.02322383,-0.016299877,0.056049687,0.012562663,0.15807095,0.183598947,-0.464459023
13,0.99397694,0.409321202,-1.56983892,-0.312106767,0.095341433,0.02322383,-0.007645935,0.05357135,0.006425675,0.224741413,0.186077995,-0.513396472
14,0.99397694,0.409321202,-1.56983892,-0.280246306,0.122149612,0.036300484,-0.003982757,0.056036371,0.012429505,0.236582626,0.195835728,-0.50703631
15,1.123578343,0.434081409,-1.679615219,-0.252007477,0.137969854,0.042117094,-0.000234358,0.043867057,0.012317653,0.290445503,0.205306107,-0.541726824
16,1.152103728,0.438550194,-1.741392567,-0.226161765,0.141598677,0.043064913,-0.006383331,0.042649992,0.011171162,0.306519544,0.207599621,-0.562385497
17,1.054029092,0.348518304,-1.760153472,-0.192838429,0.118506141,0.052215801,-0.023604928,0.036593165,0.01252751,0.279195245,0.167872537,-0.56513672
18,0.812147752,0.15548866,-1.735761846,-0.175550785,0.107545902,0.053170544,-0.03959801,0.03416303,0.010274475,0.198999652,0.099065864,-0.557438942
19,0.485560579,-0.130906352,-1.67482872,-0.142305214,0.095452487,0.070827302,-0.038360971,0.037775342,0.004253335,0.101631465,0.000773826,-0.533249361
20,0.485560579,-0.130906352,-1.67482872,-0.112790997,0.09066945,0.08977303,-0.035964659,0.051168912,0.006717558,0.112268308,0.003644003,-0.526112711
21,0.113230685,-0.41334364,-1.569969682,-0.086990026,0.091958686,0.106382899,-0.033556629,0.065750252,0.004365454,-0.002438657,-0.085211567,-0.48640711
22,-0.25024047,-0.585433648,-1.318658621,-0.059943495,0.087185503,0.126561138,-0.03119334,0.087652355,0.005674131,-0.113792435,-0.136865263,-0.395474451
23,-0.394949985,-0.465395656,-0.592916598,-0.040309606,0.093325953,0.139648711,-0.03737214,0.091315799,0.006968161,-0.15754391,-0.093584635,-0.148766575
24,-0.204149407,-0.289444864,-0.429958836,-0.029182653,0.084791054,0.138272655,-0.037365748,0.088889926,0.008159659,-0.090232603,-0.038587961,-0.094508841
25,0.00670584,-0.121346669,-0.356492341,-0.020453077,0.068902103,0.127233054,-0.043487024,0.08038086,0.008175905,-0.019078087,0.009312098,-0.073694461
26,0.164874439,-0.040601755,-0.252824002,-0.020453077,0.068902103,0.127233054,-0.049563558,0.06455103,0.004531369,0.031619268,0.030950459,-0.040353193
27,0.118207867,-0.125312915,-0.186497975,-0.020453077,0.068902103,0.127233054,-0.053162821,0.047487624,-0.001558748,0.01486399,-0.002974396,-0.020274556
